"State","FPO Name","Location (District + Address)","Crop Focus","Key Activities (Bio-input Collaboration Lens)","Reason for Selection (Business Relevance)","Contact Details (Name | Phone | Email – as listed in SFAC)","Source (SFAC PDF URL)"
"Uttar Pradesh","Malihabad Mango & Horticulture Producer Company Limited","Lucknow – Malihabad block, Lucknow District","Mango (Dussehri/Langra), Aonla, Guava","Collective harvest; grading/packing; mango export linkage; bulk input procurement","Major mango export cluster; bio-stimulant + bio-fungicide demand for post-harvest quality; export residue compliance driver","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Uttar%20Pradesh.pdf"
"Uttar Pradesh","Agra Potato & Vegetable Producer Company Ltd.","Agra – Kheragarh, Agra District","Potato, Mentha (Mint), Tomato","Collective input procurement (seed potato, fertilizer); aggregation for mandis","Large potato belt; biofertilizer seed treatment + bio-fungicide (late blight) adoption opportunity; mentha = essential oil export angle","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Uttar%20Pradesh.pdf"
"Uttar Pradesh","Banda Horticulture Producer Company Limited","Banda – Banda District","Guava, Tomato, Vegetables","Collective sales; market linkage; input procurement","Fast-growing fruit/veg FPO in Bundelkhand; bio-stimulant program for abiotic-stress management in water-scarce region","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Uttar%20Pradesh.pdf"
"Uttar Pradesh","Barabanki Mentha Farmers Producer Company Ltd.","Barabanki – Barabanki District","Mentha (Mint), Wheat, Vegetables","Collective distillation; input procurement; market linkage for essential oils","Mentha export cluster; clean/residue-free distillate demand; bio-stimulant for yield improvement in mentha","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Uttar%20Pradesh.pdf"
"Uttar Pradesh","Kanpur Dehat Vegetable Producer Company Limited","Kanpur Dehat – Kanpur Dehat District","Potato, Tomato, Brinjal, Okra","Bulk vegetable aggregation; common facility for grading; group input purchase","Peri-urban veg supply chain; frequent input cycles; bio-pesticide and bio-stimulant demonstrations effective here","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Uttar%20Pradesh.pdf"
"Uttar Pradesh","Muzaffarnagar Sugarcane & Vegetable FPC Ltd.","Muzaffarnagar – Muzaffarnagar District","Sugarcane, Vegetables (Onion, Tomato)","Input procurement; aggregation; linkage to sugar mills","Sugarcane+veg intercrop belt; bio-fertilizer (Azotobacter, PSB) for sugarcane ratoon + vegetable intercrop","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Uttar%20Pradesh.pdf"
"Uttar Pradesh","Varanasi Vegetable Farmers Producer Company Ltd.","Varanasi – Varanasi District","Cauliflower, Cabbage, Tomato, Chilli","Market linkage (mandis + retail); input procurement","Premium vegetable cluster near Varanasi urban market; high bio-pesticide demand for residue-free vegetables","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Uttar%20Pradesh.pdf"
"Uttar Pradesh","Aligarh Vegetables Farmer Producer Company Ltd.","Aligarh – Aligarh District","Potato, Brinjal, Okra, Chilli","Input procurement; grading; farmer training","Active potato & vegetable district; bio-fungicide + bio-stimulant pilot opportunity","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Uttar%20Pradesh.pdf"
"Uttar Pradesh","Sitapur Horticulture Producer Company Limited","Sitapur – Sitapur District","Mango, Guava, Vegetables","Market linkage; post-harvest management","Mango-guava belt; bio-stimulant (fruit retention, quality); export-ready value chain","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Uttar%20Pradesh.pdf"
"Uttar Pradesh","Bulandshahr Flower Growers Producer Company Ltd.","Bulandshahr – Bulandshahr District","Marigold, Rose, Gladiolus","Bulk flower aggregation; market linkage to Delhi mandis; input procurement","Cut flower & marigold supply to Delhi NCT; bio-stimulant (pre-harvest) + bio-fungicide demand; high-value crop","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Uttar%20Pradesh.pdf"
